step,coherence,ethical,symbolic,entropy,effective_archetype,memory_influence
0,0.5780493528798158,0.6705372493405864,0.6194642057242782,0.4379122227559274,1.0,0.0
1,0.707945920772641,0.8212172680962636,0.7961093087012625,0.25237048236508297,1.0,0.7014048883518367
2,0.5546949044633255,0.6434460891774576,0.5842526623850637,0.4929461155889623,1.0,0.7039366991641538
3,0.4808425691775928,0.5577773802460078,0.4703286654070321,0.5613021018966983,1.0,0.7058627392579238
4,0.8135514222553697,0.9437196498162289,0.9060549032324201,0.19977983279768402,1.0,0.7071337544430063
5,0.7416343085551443,0.8602957979239675,0.8347693282573158,0.29872689442778444,1.0,0.7092060448200915
6,0.7996922276888663,0.927642984119085,0.8935076118644931,0.14925090321735257,1.0,0.7115600189098005
7,0.5571735135667617,0.6463212757374437,0.5880203403849231,0.33786505767917663,1.0,0.7142382744431164
8,0.6342236980017852,0.735699489682071,0.7005744175854592,0.4267778052670661,1.0,0.7165866907033818
9,0.688826559624126,0.7990388091639863,0.7727177966352003,0.3967238310646293,1.0,0.718824705817003
10,0.3806251139822385,0.44152513221939677,0.3202732840310385,0.6811828151169249,1.0,0.7210619067010666
11,0.5909834650473763,0.6855408194549566,0.638641590168867,0.4416522683092964,1.0,0.7227819288307089
12,0.6864211056817191,0.7962484825907943,0.7697027977523621,0.39522793682705365,1.0,0.7243908355498103
13,0.6747951322620097,0.7827623534239314,0.7549096228554415,0.33537376274064334,1.0,0.7260332608610499
14,0.4997116856155033,0.5796655553139839,0.4995531127814209,0.4248567678852061,1.0,0.7276815678417369
15,0.6307425143179286,0.7316613166087973,0.6957297763675455,0.41284813801139214,1.0,0.7291181259819739
16,0.5790097540325587,0.6716513146777682,0.6208968935841749,0.5242967937960576,1.0,0.7305169848831434
17,0.7786455439497816,0.9032288309817468,0.8733727175899522,0.23609038624061238,1.0,0.7318238646579811
18,0.6123206353557746,0.7102919370126987,0.6696610200240447,0.44856976163766515,1.0,0.7332467175101163
19,0.8737448990154095,1.0,0.9542251711858731,0.15274872107980317,1.0,0.7346081586000837
20,0.672485663770202,0.7800833699734344,0.7519280099291827,0.3981438057132134,1.0,0.7361471847357022
21,0.6044842073273733,0.7012016804997531,0.6583650018394269,0.5116628388731946,1.0,0.7376651577565019
22,0.5691424887359621,0.660205286933716,0.6061160665198088,0.5245467621575794,1.0,0.7391047882761788
23,0.6779523021915673,0.7864246705422182,0.7589627833915974,0.4042261045825607,1.0,0.7404436202952598
24,0.6317589003566008,0.732840324413657,0.6971470271591091,0.3856203891340104,1.0,0.741771085927605
25,0.6198392552081717,0.7190135360414793,0.6803857826108801,0.37758632377837653,1.0,0.7430519630295886
26,0.4753117480136293,0.5513616276958101,0.46178172712439164,0.5656390731517642,1.0,0.7442799175459718
27,0.7632524995860115,0.8853728995197734,0.8578134222551785,0.23332455380439937,1.0,0.7453612592808254
28,0.7448719024648695,0.8640514068592486,0.8383089923539422,0.18394959094599095,1.0,0.7464933323968949
29,0.7014200587978456,0.813647268205501,0.7882408381172087,0.24552123671999254,1.0,0.7476574703315466
30,0.6073918920793957,0.704574594812099,0.6625699863333754,0.3490057576503371,1.0,0.748822238233219
31,0.48062889758579846,0.5575295211995263,0.46999824144209834,0.46835948058037297,1.0,0.7499307263896415
32,0.647993433116303,0.7516723824149115,0.7194659585047499,0.3994208978606713,1.0,0.7509146525530317
33,0.8347934243506158,0.9683603722467145,0.9242089910215839,0.171758932012351,1.0,0.7518745771085205
